AccX,Accy,AccZ,GyroX,GyroY,GyroZ,MAGyroX,MAGyroY,MAGyroZ,Gyro_minus_MAGyroX,Gyro_minus_MAGyroY,Gyro_minus_MAGyroZ,AADX,AADY,AADZ,AADM,Categorie
-0.01000,-0.21000,0.97000,-6.84000,-0.09000,-0.80000,-7.05000,-0.22000,-0.80000,0.21000,0.13000,0.00000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-6.90000,-0.21000,-0.89000,-7.03000,-0.22000,-0.81000,0.13000,0.01000,-0.08000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.86000,-0.34000,-0.77000,-7.00000,-0.22000,-0.82000,0.14000,-0.12000,0.05000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-6.96000,-0.28000,-0.92000,-7.00000,-0.24000,-0.84000,0.04000,-0.04000,-0.08000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.96000,-7.15000,-0.36000,-0.81000,-7.01000,-0.25000,-0.84000,-0.14000,-0.11000,0.03000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.06000,-0.35000,-0.76000,-7.01000,-0.26000,-0.83000,-0.05000,-0.09000,0.07000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.06000,-0.02000,-0.73000,-7.02000,-0.24000,-0.81000,-0.04000,0.23000,0.08000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.97000,-6.74000,-0.18000,-0.78000,-6.98000,-0.24000,-0.81000,0.24000,0.05000,0.03000,0.00000,0.00000,0.00000,0.00000,0
0.00000,-0.21000,0.97000,-6.69000,-0.18000,-0.82000,-6.92000,-0.23000,-0.81000,0.23000,0.05000,0.00000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.29000,-0.17000,-0.85000,-6.96000,-0.22000,-0.81000,-0.33000,0.05000,-0.04000,0.00000,0.00000,0.00000,0.00000,0
-0.01000,-0.21000,0.97000,-7.51000,-0.29000,-0.89000,-7.02000,-0.24000,-0.82000,-0.49000,-0.05000,-0.06000,0.00000,0.00000,0.00000,0.00000,0
